time,value,error
55153.545,3.38952901394E-14,6.34073139064E-16
55160.508,4.03774934884E-14,6.34073139064E-16
55170.072,3.61525849907E-14,6.34073139064E-16
55177.208,3.61525849907E-14,6.34073139064E-16
55185.274,3.75093342331E-14,6.34073139064E-16
55193.1,3.35845362516E-14,6.34073139064E-16
55201.937,3.29715493823E-14,6.34073139064E-16
55209.27,2.89827343218E-14,6.34073139064E-16
55221.944,2.64325678557E-14,6.34073139064E-16
55226.162,2.76782964E-14,6.34073139064E-16
55233.188,3.03486485089E-14,6.34073139064E-16
55337.098,3.09128720103E-14,6.34073139064E-16
55361.382,2.95215635825E-14,6.34073139064E-16
55393.08,2.69239859819E-14,6.34073139064E-16
55418.577,2.79344005233E-14,6.34073139064E-16
55453.676,2.15843689407E-14,6.34073139064E-16
55473.413,2.84537398035E-14,6.34073139064E-16
55501.92,3.29715493823E-14,6.34073139064E-16
55529.074,3.71654465898E-14,6.34073139064E-16
55561.665,4.46826946316E-14,6.34073139064E-16
55585.953,3.82066848215E-14,6.34073139064E-16
55701.765,3.78564038296E-14,6.34073139064E-16
55729.069,4.67885251526E-14,6.34073139064E-16
55757.968,3.42089193976E-14,6.34073139064E-16
55785.754,3.14875852097E-14,6.34073139064E-16
55787.957,3.35845362516E-14,6.34073139064E-16
55788.203,3.29715493823E-14,6.34073139064E-16
55793.894,3.23697507842E-14,6.34073139064E-16
55797.502,3.09128720103E-14,6.34073139064E-16
55801.571,2.92509082607E-14,6.34073139064E-16
55805.135,2.97947232471E-14,6.34073139064E-16
55809.666,2.76782964E-14,6.34073139064E-16
55813.425,1.96851784345E-14,6.34073139064E-16
55821.657,2.76782964E-14,6.34073139064E-16
55826.138,2.89827343218E-14,6.34073139064E-16
55829.012,2.89827343218E-14,6.34073139064E-16
55834.288,2.8192874349E-14,6.34073139064E-16
55837.034,2.89827343218E-14,6.34073139064E-16
55841.312,2.8192874349E-14,6.34073139064E-16
55849.235,3.03486485089E-14,6.34073139064E-16
55853.425,3.26692644005E-14,6.34073139064E-16
55857.833,3.54927259495E-14,6.34073139064E-16
55861.51,3.48449106931E-14,6.34073139064E-16
55865.934,3.23697507842E-14,6.225E-16
55869.945,3.82066848215E-14,6.34073139064E-16
55877.702,3.89170001253E-14,6.28259921583E-16
55881.578,3.85602069235E-14,6.28259921583E-16
55885.673,3.89170001253E-14,6.28259921583E-16
55889.802,3.92770946939E-14,6.28259921583E-16
55893.481,3.6487100741E-14,6.28259921583E-16
55897.144,3.75093342331E-14,6.28259921583E-16
55901.598,3.54927259495E-14,6.28259921583E-16
55909.121,2.8192874349E-14,6.28259921583E-16
55913.224,3.32766313725E-14,6.225E-16
55918.048,3.29715493823E-14,6.225E-16
55921.495,3.75093342331E-14,6.225E-16
55925.53,4.0007310403E-14,6.225E-16
55929.623,3.89170001253E-14,6.225E-16
55933.864,3.82066848215E-14,6.225E-16
55937.209,4.30664779397E-14,6.225E-16
55938.329,4.34649671538E-14,6.225E-16
55939.132,4.26716420967E-14,6.225E-16
55940.067,4.30664779397E-14,6.225E-16
55941.204,4.34649671538E-14,6.225E-16
55942.139,4.46826946316E-14,6.225E-16
55944.953,4.76583887802E-14,6.225E-16
55945.817,4.63595653756E-14,6.225E-16
55946.819,4.55134079468E-14,6.225E-16
55947.828,4.59345383255E-14,6.225E-16
55948.625,4.42730412249E-14,6.225E-16
55949.896,4.30664779397E-14,6.225E-16
55950.965,4.15087213835E-14,6.225E-16
55951.098,4.15087213835E-14,6.225E-16
55957.264,3.92770946939E-14,6.225E-16
55958.173,4.0007310403E-14,6.225E-16
55959.34,4.07511018357E-14,6.225E-16
55960.396,4.30664779397E-14,6.225E-16
55961.076,4.34649671538E-14,6.225E-16
55963.953,4.59345383255E-14,6.225E-16
55964.687,4.59345383255E-14,6.225E-16
55965.624,4.42730412249E-14,6.225E-16
55966.629,4.67885251526E-14,6.225E-16
56073.968,3.38952901394E-14,6.225E-16
56081.977,3.38952901394E-14,6.225E-16
56089.341,3.51673266821E-14,6.225E-16
56097.919,3.23697507842E-14,6.225E-16
56105.838,3.09128720103E-14,6.225E-16
56113.069,3.06294610962E-14,6.225E-16
56116.606,3.14875852097E-14,6.225E-16
56121.005,2.89827343218E-14,6.225E-16
56129.736,3.14875852097E-14,6.225E-16
56140.926,3.14875852097E-14,6.225E-16
56147.205,2.76782964E-14,6.225E-16
56153.556,3.32766313725E-14,6.225E-16
56161.96,3.38952901394E-14,6.225E-16
56182.421,3.48449106931E-14,6.225E-16
56185.819,3.09128720103E-14,6.225E-16
56189.931,3.38952901394E-14,6.225E-16
56193.364,3.45254506316E-14,6.225E-16
56209.945,3.68247117274E-14,6.225E-16
56217.349,3.14875852097E-14,6.225E-16
56225.581,3.6487100741E-14,6.225E-16
56233.662,3.54927259495E-14,6.225E-16
56240.863,3.42089193976E-14,6.225E-16
56249.88,2.97947232471E-14,6.225E-16
56257.031,3.68247117274E-14,6.225E-16
56265.874,3.58211360992E-14,6.225E-16
56273.202,3.82066848215E-14,6.225E-16
56283.932,3.92770946939E-14,6.225E-16
56289.628,4.0007310403E-14,6.225E-16
56297.238,3.96405211765E-14,6.225E-16
56305.251,3.85602069235E-14,6.225E-16
56313.547,3.11989052933E-14,6.225E-16
56321.489,3.29715493823E-14,6.225E-16
56429.071,3.71654465898E-14,6.05535146801E-16
56433.142,3.75093342331E-14,6.05535146801E-16
56437.537,3.58211360992E-14,6.05535146801E-16
56443.427,3.23697507842E-14,6.05535146801E-16
56449.43,3.09128720103E-14,6.05535146801E-16
56453.227,3.09128720103E-14,6.05535146801E-16
56454.239,3.32766313725E-14,6.05535146801E-16
56455.908,3.26692644005E-14,6.05535146801E-16
56456.635,2.7173110557E-14,6.05535146801E-16
56457.507,3.32766313725E-14,6.1113809453E-16
56458.177,3.29715493823E-14,6.1113809453E-16
56459.177,3.03486485089E-14,6.1113809453E-16
56460.381,3.0070410427E-14,6.1113809453E-16
56461.44,3.09128720103E-14,6.1113809453E-16
56465.653,3.20729831252E-14,6.1113809453E-16
56468.644,3.20729831252E-14,6.1113809453E-16
56469.992,2.97947232471E-14,6.1113809453E-16
56470.191,3.20729831252E-14,6.1113809453E-16
56477.992,2.97947232471E-14,6.1113809453E-16
56481.313,3.03486485089E-14,6.1113809453E-16
56485.438,2.97947232471E-14,6.1113809453E-16
56489.082,3.17789362485E-14,6.1113809453E-16
56493.553,2.87170190164E-14,6.1113809453E-16
56497.685,2.8192874349E-14,6.1113809453E-16
56505.671,2.69239859819E-14,6.1113809453E-16
56513.919,3.26692644005E-14,6.1113809453E-16
56517.575,3.17789362485E-14,6.1113809453E-16
56521.846,3.06294610962E-14,6.1113809453E-16
56525.319,3.17789362485E-14,6.1113809453E-16
56529.57,3.17789362485E-14,6.1113809453E-16
56533.569,3.0070410427E-14,6.1113809453E-16
56537.678,2.74245402533E-14,6.1113809453E-16
56541.441,2.79344005233E-14,6.1113809453E-16
56545.678,2.76782964E-14,6.1113809453E-16
56549.031,2.69239859819E-14,6.1113809453E-16
56553.153,2.92509082607E-14,6.1113809453E-16
56557.224,2.87170190164E-14,6.1113809453E-16
56561.845,3.03486485089E-14,6.1113809453E-16
56565.85,3.03486485089E-14,6.1113809453E-16
56569.987,3.32766313725E-14,6.1113809453E-16
56577.728,2.92509082607E-14,6.1113809453E-16
56581.047,3.0070410427E-14,6.1113809453E-16
56585.536,3.06294610962E-14,6.1113809453E-16
56593.279,3.29715493823E-14,6.1113809453E-16
56598.602,2.97947232471E-14,6.1113809453E-16
56601.951,2.8192874349E-14,6.1113809453E-16
56605.486,2.84537398035E-14,6.1113809453E-16
56608.079,2.8192874349E-14,6.1113809453E-16
56613.302,2.32348223228E-14,6.1113809453E-16
56617.623,2.95215635825E-14,6.1113809453E-16
56621.695,2.89827343218E-14,6.1113809453E-16
56625.44,2.79344005233E-14,6.1113809453E-16
56629.708,2.92509082607E-14,6.1113809453E-16
56633.849,2.38857760319E-14,5.57364566555E-16
56639.105,2.87170190164E-14,6.1113809453E-16
56642.047,2.66771453947E-14,6.1113809453E-16
56645.181,2.74245402533E-14,6.1113809453E-16
56649.045,2.69239859819E-14,6.1113809453E-16
56653.722,2.61902326169E-14,6.1113809453E-16
56657.718,2.74245402533E-14,6.1113809453E-16
56661.933,2.69239859819E-14,6.1113809453E-16
56666.99,3.14875852097E-14,6.1113809453E-16
56669.406,3.09128720103E-14,6.1113809453E-16
56673.66,3.0070410427E-14,6.1113809453E-16
56677.933,3.09128720103E-14,6.1113809453E-16
56681.337,3.09128720103E-14,6.1113809453E-16
56685.937,3.11989052933E-14,6.1113809453E-16
56689.348,3.06294610962E-14,6.1113809453E-16
56693.685,3.29715493823E-14,6.1113809453E-16
56697.876,3.29715493823E-14,6.1113809453E-16
56701.96,3.23697507842E-14,6.1113809453E-16
56793.963,2.76782964E-14,6.1113809453E-16
56799.96,2.8192874349E-14,6.1113809453E-16
56809.646,2.84537398035E-14,6.1113809453E-16
56813.427,2.8192874349E-14,6.1113809453E-16
56817.298,2.66771453947E-14,6.05535146801E-16
56821.025,2.50114779753E-14,6.05535146801E-16
56825.213,2.28107390218E-14,6.05535146801E-16
56829.746,2.5950119121E-14,6.05535146801E-16
56833.674,2.45549670542E-14,6.05535146801E-16
56837.008,2.57122069989E-14,6.05535146801E-16
56845.672,2.54764760682E-14,6.1113809453E-16
56849.218,2.7173110557E-14,6.1113809453E-16
56853.469,2.66771453947E-14,6.1113809453E-16
56857.868,2.7173110557E-14,6.1113809453E-16
56865.471,3.11989052933E-14,6.1113809453E-16
56873.133,3.35845362516E-14,6.1113809453E-16
56881.19,3.17789362485E-14,6.1113809453E-16
56889.069,3.35845362516E-14,6.1113809453E-16
56897.852,3.06294610962E-14,6.1113809453E-16
56912.114,3.96405211765E-14,6.1113809453E-16
56913.188,3.96405211765E-14,6.1113809453E-16
56917.377,3.32766313725E-14,6.1113809453E-16
56918.472,3.96405211765E-14,6.1113809453E-16
56919.612,3.75093342331E-14,6.1113809453E-16
56920.307,3.68247117274E-14,6.1113809453E-16
56921.07,3.71654465898E-14,6.16792885696E-16
56922.911,3.68247117274E-14,6.1113809453E-16
56923.315,3.51673266821E-14,6.1113809453E-16
56925.436,3.61525849907E-14,6.1113809453E-16
56926.301,3.75093342331E-14,6.1113809453E-16
56927.3,3.75093342331E-14,6.1113809453E-16
56928.7,3.68247117274E-14,6.1113809453E-16
56929.765,3.58211360992E-14,6.1113809453E-16
56931.363,3.75093342331E-14,6.1113809453E-16
56935.375,3.48449106931E-14,6.1113809453E-16
56936.758,3.48449106931E-14,6.1113809453E-16
56941.691,3.32766313725E-14,6.1113809453E-16
56945.903,2.92509082607E-14,6.1113809453E-16
